china_pred,nigeria_pred,sa_pred,yemen_pred,china_r2,nigeria_r2,sa_r2,yemen_r2,china_rmse,nigeria_rmse,sa_rmse,yemen_rmse
0.16021203,-0.9205479,-0.11701391,0.22756095,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.16143109,-0.90149474,0.10258097,0.1953014,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.35091245,-0.8429999,0.17178498,0.2734107,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.45464346,-0.7887064,0.050759126,0.22692457,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.5093653,-0.77564025,0.07692661,0.20167321,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.579523,-0.66005415,0.10237162,0.30567124,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.7125293,-0.34213787,-0.045308303,0.23917128,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6569669,-0.3442306,-0.24146588,0.21752119,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.74491245,-0.29044667,-0.1591676,0.27657366,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6592525,-0.080356464,-0.21019062,0.11381115,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.60832375,-0.052353434,-0.2891835,0.09309056,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6017243,0.052059688,-0.28735092,0.20216133,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.4444944,0.22757336,-0.35747573,0.195508,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.471565,0.2835245,-0.52176654,0.17775442,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.4174191,0.39154205,-0.4682811,0.27873063,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.44827345,0.3827938,-0.5492401,0.23631375,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.40820977,0.37920135,-0.62371606,0.23002361,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.42976895,0.3631739,-0.54189616,0.31187865,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.008133046,0.20502904,-0.5987143,0.24015729,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.024044558,0.13333768,-0.56568855,0.19887654,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.02068235,0.049531333,-0.52419513,0.30948663,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.12167458,-0.43236846,-0.54046804,0.26278692,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.2073167,-0.5362248,-0.53154355,0.20195296,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.015029162,-0.7629085,-0.45445135,0.2508409,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.2238974,-0.8015911,-0.47066757,0.19425331,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.41424477,-0.9281913,-0.41851872,0.17013338,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.38753396,-0.93862325,-0.2655548,0.2742134,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.37628722,-0.8861051,-0.29256514,0.23629269,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
